dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,18,0,77,2,199,711,3.555,1726045883.095414
1,0,0,4,13,1,76,2,169,681,3.405,1726045883.095414
0,1,0,4,18,0,31,9,176,2480,12.4,1726045883.1406238
1,1,0,4,13,1,31,9,146,2450,12.25,1726045883.1416047
0,2,0,4,18,0,231,3,116,884,4.42,1726045883.1523879
1,2,0,4,13,1,231,3,86,854,4.27,1726045883.1523879
0,3,0,4,18,0,194,10,204,2764,13.82,1726045883.2213516
1,3,0,4,13,1,194,10,175,2735,13.675,1726045883.2213516
0,4,0,4,18,0,140,9,158,2462,12.31,1726045883.3331532
1,4,0,4,13,1,140,9,128,2432,12.16,1726045883.3341496
0,5,0,4,18,0,183,9,18,2322,11.61,1726045883.4061632
1,5,0,4,13,1,183,8,244,2292,11.46,1726045883.4071534
0,6,0,4,18,0,9,6,40,1576,7.88,1726045883.511144
1,6,0,4,13,1,9,6,10,1546,7.73,1726045883.511144
0,7,0,4,18,0,229,6,116,1652,8.26,1726045883.7584457
1,7,0,4,13,1,229,6,86,1622,8.11,1726045883.7594924
0,8,0,4,18,0,11,10,69,2629,13.145,1726045883.7771482
1,8,0,4,13,1,11,10,39,2599,12.995,1726045883.7781928
0,9,0,4,18,0,228,4,72,1096,5.48,1726045883.8186002
1,9,0,4,13,1,228,4,42,1066,5.33,1726045883.8186002
0,10,0,4,18,0,187,9,112,2416,12.08,1726045883.8443606
1,10,0,4,13,1,187,9,82,2386,11.93,1726045883.845402
0,11,0,4,18,0,17,9,204,2508,12.54,1726045883.8533335
1,11,0,4,13,1,17,9,174,2478,12.39,1726045883.8533335
0,12,0,4,18,0,60,1,106,362,1.81,1726045883.989574
1,12,0,4,13,1,60,1,76,332,1.66,1726045883.9915352
0,13,0,4,18,0,1,1,41,297,1.485,1726045884.042272
1,13,0,4,13,1,1,1,11,267,1.335,1726045884.0433886
0,14,0,4,18,0,164,4,66,1090,5.45,1726045884.0662303
1,14,0,4,13,1,164,4,36,1060,5.3,1726045884.0672326
0,15,0,4,18,0,187,8,22,2070,10.35,1726045884.0862708
1,15,0,4,13,1,187,7,248,2040,10.2,1726045884.0862708
0,16,0,4,18,0,14,0,175,175,0.875,1726045884.167284
1,16,0,4,13,1,14,0,145,145,0.725,1726045884.167284
0,17,0,4,18,0,214,10,63,2623,13.115,1726045884.4062262
1,17,0,4,13,1,214,10,33,2593,12.965,1726045884.4092596
0,18,0,4,18,0,104,10,88,2648,13.24,1726045884.4191787
1,18,0,4,13,1,104,10,58,2618,13.09,1726045884.4203472
0,19,0,4,18,0,235,0,189,189,0.945,1726045884.7055156
1,19,0,4,13,1,235,0,160,160,0.8,1726045884.7055156
0,20,0,4,18,0,58,0,193,193,0.965,1726045884.761383
1,20,0,4,13,1,58,0,163,163,0.815,1726045884.7626305
0,21,0,4,18,0,63,1,38,294,1.47,1726045884.7886255
1,21,0,4,13,1,63,1,10,266,1.33,1726045884.7886255
0,22,0,4,18,0,44,7,114,1906,9.53,1726045884.8962204
1,22,0,4,13,1,44,7,84,1876,9.38,1726045884.8971574
0,23,0,4,18,0,117,12,71,3143,15.715,1726045884.9060977
1,23,0,4,13,1,117,12,41,3113,15.565,1726045884.9070976
0,24,0,4,18,0,92,2,242,754,3.77,1726045884.9962096
1,24,0,4,13,1,92,2,212,724,3.62,1726045884.9982007
0,25,0,4,18,0,242,9,187,2491,12.455,1726045885.0187435
1,25,0,4,13,1,242,9,157,2461,12.305,1726045885.019797
0,26,0,4,18,0,107,0,112,112,0.56,1726045885.0554342
1,26,0,4,13,1,107,0,84,84,0.42,1726045885.0564334
0,27,0,4,18,0,157,10,224,2784,13.92,1726045885.207237
1,27,0,4,13,1,157,10,194,2754,13.77,1726045885.208315
0,28,0,4,18,0,175,8,165,2213,11.065,1726045885.3240256
1,28,0,4,13,1,175,8,135,2183,10.915,1726045885.3240256
0,29,0,4,18,0,149,12,242,3314,16.57,1726045885.334124
1,29,0,4,13,1,149,12,212,3284,16.42,1726045885.334124
0,30,0,4,18,0,104,3,69,837,4.185,1726045885.347883
1,30,0,4,13,1,104,3,39,807,4.035,1726045885.3488483
0,31,0,4,18,0,14,9,196,2500,12.5,1726045885.3718395
1,31,0,4,13,1,14,9,166,2470,12.35,1726045885.3728738
0,32,0,4,18,0,18,10,208,2768,13.84,1726045885.488699
1,32,0,4,13,1,18,10,179,2739,13.695,1726045885.4896393
0,33,0,4,18,0,151,2,25,537,2.685,1726045885.5946045
1,33,0,4,13,1,151,1,251,507,2.535,1726045885.5946045
0,34,0,4,18,0,181,4,236,1260,6.3,1726045885.6967714
1,34,0,4,13,1,181,4,206,1230,6.15,1726045885.6978095
0,35,0,4,18,0,205,1,52,308,1.54,1726045885.708547
1,35,0,4,13,1,205,1,22,278,1.39,1726045885.709492
0,36,0,4,18,0,41,7,117,1909,9.545,1726045885.7234247
1,36,0,4,13,1,41,7,87,1879,9.395,1726045885.7234247
0,37,0,4,18,0,168,0,196,196,0.98,1726045885.7342093
1,37,0,4,13,1,168,0,166,166,0.83,1726045885.7342093
0,38,0,4,18,0,68,7,197,1989,9.945,1726045885.8983843
1,38,0,4,13,1,68,7,167,1959,9.795,1726045885.8983843
0,39,0,4,18,0,248,0,238,238,1.19,1726045886.1552198
1,39,0,4,13,1,248,0,209,209,1.045,1726045886.156227
0,40,0,4,18,0,40,5,212,1492,7.46,1726045886.2382674
1,40,0,4,13,1,40,5,182,1462,7.31,1726045886.2382674
0,41,0,4,18,0,12,9,127,2431,12.155,1726045886.2574267
1,41,0,4,13,1,12,9,97,2401,12.005,1726045886.2577975
0,42,0,4,18,0,222,0,177,177,0.885,1726045886.5264645
1,42,0,4,13,1,222,0,148,148,0.74,1726045886.52746
0,43,0,4,18,0,154,4,51,1075,5.375,1726045886.5396194
1,43,0,4,13,1,154,4,21,1045,5.225,1726045886.5396194
0,44,0,4,18,0,42,1,107,363,1.815,1726045886.600922
1,44,0,4,13,1,42,1,77,333,1.665,1726045886.6019213
0,45,0,4,18,0,116,9,74,2378,11.89,1726045886.6646876
1,45,0,4,13,1,116,9,44,2348,11.74,1726045886.6646876
0,46,0,4,18,0,167,11,88,2904,14.52,1726045886.7848523
1,46,0,4,13,1,167,11,58,2874,14.37,1726045886.7848523
0,47,0,4,18,0,62,8,104,2152,10.76,1726045886.798828
1,47,0,4,13,1,62,8,74,2122,10.61,1726045886.798828
0,48,0,4,18,0,16,0,223,223,1.115,1726045886.8372107
1,48,0,4,13,1,16,0,193,193,0.965,1726045886.838292
0,49,0,4,18,0,229,8,218,2266,11.33,1726045886.9670851
1,49,0,4,13,1,229,8,188,2236,11.18,1726045886.968206
0,50,0,4,18,0,43,1,94,350,1.75,1726045887.0671024
1,50,0,4,13,1,43,1,64,320,1.6,1726045887.0671024
0,51,0,4,18,0,155,5,143,1423,7.115,1726045887.1637337
1,51,0,4,13,1,155,5,113,1393,6.965,1726045887.1647294
0,52,0,4,18,0,143,1,254,510,2.55,1726045887.1743035
1,52,0,4,13,1,143,1,224,480,2.4,1726045887.1752715
0,53,0,4,18,0,252,11,137,2953,14.765,1726045887.2515922
1,53,0,4,13,1,252,11,107,2923,14.615,1726045887.2515922
0,54,0,4,18,0,211,0,185,185,0.925,1726045887.2869995
1,54,0,4,13,1,211,0,156,156,0.78,1726045887.2879958
0,55,0,4,18,0,194,10,39,2599,12.995,1726045887.3811858
1,55,0,4,13,1,194,10,8,2568,12.84,1726045887.3822203
0,56,0,4,18,0,39,9,85,2389,11.945,1726045887.463047
1,56,0,4,13,1,39,9,57,2361,11.805,1726045887.4650376
0,57,0,4,18,0,235,4,76,1100,5.5,1726045887.514819
1,57,0,4,13,1,235,4,46,1070,5.35,1726045887.514819
0,58,0,4,18,0,201,1,32,288,1.44,1726045887.7771516
1,58,0,4,13,1,201,1,2,258,1.29,1726045887.778105
0,59,0,4,18,0,247,5,0,1280,6.4,1726045887.993166
1,59,0,4,13,1,247,4,226,1250,6.25,1726045887.993166
0,60,0,4,18,0,203,8,130,2178,10.89,1726045888.0739992
1,60,0,4,13,1,203,8,100,2148,10.74,1726045888.0749955
